Datum;VSTOXX;VIX;VDAX;Ifo;DE_EPU;Glob_EPU
2000-01-01;28,94837619;23,202;31,4;96,2;73,23399039;63,36971598
2000-02-01;30,04859048;23,5955;28,54;97,8;97,3584286;58,69227896
2000-03-01;28,53686522;22,71826087;26,84;97;96,09150486;60,83247665
2000-04-01;28,53848333;27,16421053;23,7;98,2;69,44795177;64,23391535
2000-05-01;27,94932727;26,37318182;23,67;98,3;135,287133;86,54617843
2000-06-01;23,37425909;21,54;21,01;96,9;58,29011651;87,99515573
2000-07-01;21,09670952;19,893;20,03;96,5;75,23576565;65,46117363
2000-08-01;20,8036087;18,08869565;18,03;96,5;76,06293221;53,82633389
2000-09-01;21,37119048;19,6875;20,6;96,2;68,36932811;60,76766272
2000-10-01;26,1049;25,2;20,6;96,2;84,14410179;68,90062071
2000-11-01;25,50878182;26,38285714;24,05;96;91,13113631;108,6746671
2000-12-01;25,96667368;26,5305;23,37;95,8;91,88847359;102,0126052
2001-01-01;24,37522273;24,91857143;19,22;94,7;109,3314171;99,76357654
2001-02-01;21,53522;23,41157895;20,18;93,6;134,3682047;100,0246083
2001-03-01;26,06414545;28,49681818;24,87;91,9;180,830436;112,9172828
2001-04-01;26,82713158;28,134;19,37;91,2;92,08272095;109,2665346
2001-05-01;21,26327727;22,94409091;19,284375;88,8;73,97757803;84,7126477
2001-06-01;21,66623333;20,94047619;19,76714286;87,9;69,78983009;73,72411157
2001-07-01;24,73374545;22,31619048;21,41863636;87,4;106,6774061;99,74972682
2001-08-01;25,23741304;21,86173913;22,17347826;87;88,27506959;85,06490992
2001-09-01;43,04567;35,06533333;36,551;84,3;248,3052363;179,5230127
2001-10-01;41,34496087;32,72130435;35,69304348;83,8;276,7237072;171,0304353
2001-11-01;33,31541818;26,63095238;30,32090909;84,6;177,7516933;125,4481832
2001-12-01;28,39369412;23,72;27,03235294;86,2;108,1198103;107,7708663
2002-01-01;27,15014091;22,25285714;25,63909091;84,8;95,47948159;106,3733442
2002-02-01;27,2034;22,87578947;25,291;86,1;86,47942414;89,67834451
2002-03-01;22,82304;18,985;21,5935;88;73,08976468;78,84314824
2002-04-01;22,95556667;19,90045455;21,86714286;87,5;106,9627924;83,39408956
2002-05-01;25,36361364;20,08772727;23,59363636;88,7;80,44455211;78,87100153
2002-06-01;32,887265;25,271;29,748;88,5;120,4353803;94,08792887
2002-07-01;48,07999565;34,04954545;41,80217391;87,5;124,3302564;100,0326678
2002-08-01;46,74839091;33,74272727;42,94954545;86,5;107,2274096;106,7025164
2002-09-01;54,26891905;37,6475;49,29285714;86,3;115,5399474;122,4911843
2002-10-01;52,72982609;35,24304348;50,02173913;86,2;96,34648902;117,1040265
2002-11-01;41,0115;28,175;40,65333333;84,5;103,2367901;122,1176594
2002-12-01;44,63130556;28,21047619;41,07388889;83,9;128,2414533;118,5749209
2003-01-01;45,16631364;27,42428571;44,12181818;84,3;84,1283235;127,2919613
2003-02-01;44,39293;32,21842105;43,8305;85,1;230,909568;135,8141857
2003-03-01;47,46984286;30,63428571;45,53380952;84,9;230,063009;169,27444
2003-04-01;36,9559;23,99190476;37,466;85,3;155,8158241;135,2243671
2003-05-01;32,04016667;20,23952381;32,45238095;85,5;120,4396931;106,1136193
2003-06-01;27,84754286;20,36238095;28,64714286;86,3;78,66607556;88,81831154
2003-07-01;26,77627826;19,16136364;26,3173913;87,3;59,33775041;79,5104761
2003-08-01;25,90127143;19,27428571;25,66095238;89,4;59,89029266;69,00848755
2003-09-01;27,29710909;19,53238095;26,54681818;90,5;89,45635686;81,25679779
2003-10-01;26,76461739;18,02347826;26,50304348;91,8;87,12670456;76,42139276
2003-11-01;23,88348;17,40105263;23,946;93,4;106,2877881;73,13391375
